Result Date,E. coli - counts Flag,E. coli - counts,E. coli - MPN Flag,E. coli - MPN MPN/100ml,Enterococcus  Flag,Enterococcus  MPN/100ml,Station
2023-08-03 00:00,,,,20,,10,64245
2023-08-02 00:00,,,,135,,20,64245
2023-08-01 00:00,,,,122,,20,64245
2023-07-31 00:00,,,,627,,677,64245
2023-07-30 00:00,,,,213,,135,64245
2023-07-29 00:00,,,,135,,52,64245
2023-07-28 00:00,,,,121,,31,64245
2023-07-27 00:00,,,,10,<,10,64245
2023-07-26 00:00,,,<,10,<,10,64245
2023-07-25 00:00,,,<,10,<,10,64245
2023-07-24 00:00,,,,10,<,10,64245
2023-07-23 00:00,,,,41,<,10,64245
2023-07-22 00:00,,,,86,,75,64245
2023-07-21 00:00,,,,299,<,10,64245
2023-07-20 00:00,,,,96,,10,64245
2023-07-19 00:00,,,<,10,,10,64245
2023-07-18 00:00,,,,41,,10,64245
2023-07-17 00:00,,,,20,,10,64245
2023-07-16 00:00,,,<,10,<,10,64245
2023-07-15 00:00,,,<,10,<,10,64245
2023-07-14 00:00,,,,10,<,10,64245
2023-07-13 00:00,,,,31,<,10,64245
2023-07-12 00:00,,,,41,,30,64245
2023-07-11 00:00,,,,52,,10,64245
2023-07-10 00:00,,,,10,<,10,64245
2023-07-09 00:00,,,,10,,10,64245
2023-07-08 00:00,,,<,10,<,10,64245
2023-07-07 00:00,,,,52,<,10,64245
2023-07-06 00:00,,,,63,,10,64245
2023-07-05 00:00,,,,31,,20,64245
2023-07-04 00:00,,,,738,,487,64245
2023-07-03 00:00,,,,31,<,10,64245
2023-07-02 00:00,,,<,10,<,10,64245
2023-07-01 00:00,,,<,10,<,10,64245
2023-06-30 00:00,,,,20,<,10,64245
2023-06-29 00:00,,,,10,<,10,64245
2023-06-28 00:00,,,<,10,<,10,64245
2023-06-27 00:00,,,,31,<,10,64245
2023-06-26 00:00,,,,75,,31,64245
2023-06-25 00:00,,,,75,<,10,64245
2023-06-24 00:00,,,<,10,<,10,64245
2023-06-23 00:00,,,,41,<,10,64245
2023-06-22 00:00,,,,41,<,10,64245
2023-06-21 00:00,,,<,10,<,10,64245
2023-06-20 00:00,,,<,10,<,10,64245
2023-06-19 00:00,,,,10,<,10,64245
2023-06-18 00:00,,,,75,,10,64245
2023-06-17 00:00,,,,52,,20,64245
2023-06-16 00:00,,,,41,,41,64245
2023-06-15 00:00,,,,20,<,10,64245
2023-06-14 00:00,,,<,10,<,10,64245
2023-06-13 00:00,,,,63,<,10,64245
2023-06-12 00:00,,,<,10,,10,64245
2023-06-11 00:00,,,<,10,<,10,64245
2023-06-10 00:00,,,,20,,20,64245
2023-06-09 00:00,,,<,10,<,10,64245
2023-06-08 00:00,,,,41,<,10,64245
2023-06-07 00:00,,,,145,,158,64245
2023-06-06 00:00,,,,20,,41,64245
2023-06-05 00:00,,,,52,,31,64245
2023-06-04 00:00,,,<,10,,10,64245
